obsno,grid_code,x_wgs84,y_wgs84,ldi,loss_intensity,miombo_extent,MAT,MAP,soil,access,sciname,P1,P2,P3,P4,P5,ba_P1,ba_P2,ba_P3,ba_P4,ba_P5
54,G403,36.64969755,-15.18629902,0.018920391,1.41125,0.640385706,23.42499924,1156,19,275,Acacia robusta,0,0,NA,NA,NA,0,0,NA,NA,NA
55,G497,36.75600562,-15.22170514,0.421837973,0.854392298,0.402722632,22.64583397,1209,17,104,Acacia robusta,0,0,NA,NA,NA,0,0,NA,NA,NA
56,G542,36.99340118,-15.06223571,0.603426499,1.370839937,0.49091941,22.96666718,1129,19,75,Acacia robusta,0,0,NA,NA,NA,0,0,NA,NA,NA
57,G543,36.78071643,-15.22924172,0.654953407,1.410071942,0.333522405,22.57916641,1230,19,36,Acacia robusta,0,0,NA,NA,NA,0,0,NA,NA,NA
58,G578,36.67520903,-15.24593095,0.694410246,1.475446429,0.374716553,23.10416603,1232,19,426,Acacia robusta,0,0,NA,NA,NA,0,0,NA,NA,NA
59,G585,36.76644484,-15.23758054,0.434415735,1.630372493,0.322562358,22.52916718,1243,19,79,Acacia robusta,0,0,0,NA,NA,0,0,0,NA,NA
60,G609,36.5035872,-15.2618073,0.143675184,0.716642755,0.566005666,22.79583359,1240,11,146,Acacia robusta,0,0,NA,NA,NA,0,0,NA,NA,NA
61,G611,36.53587517,-15.25632984,0.531026019,0.576982893,0.420634921,22.71249962,1240,6,211,Acacia robusta,2,0,NA,NA,NA,208.1,0,NA,NA,NA
62,G619,36.64330914,-15.26382129,0.68511489,0.74368932,0.217120181,23.0625,1253,19,429,Acacia robusta,0,0,NA,NA,NA,0,0,NA,NA,NA
63,G622,36.68182652,-15.25945629,0.741545265,1.740196078,0.201247166,23.09583282,1248,19,366,Acacia robusta,0,0,0,NA,NA,0,0,0,NA,NA
64,G623,36.70270155,-15.2632723,0.345054375,1.532956685,0.461712989,22.98333359,1254,19,265,Acacia robusta,0,0,0,0,NA,0,0,0,0,NA
65,G627,36.754718,-15.25277133,0.822311139,1.996721311,0.345629966,22.61249924,1266,19,88,Acacia robusta,0,0,NA,NA,NA,0,0,NA,NA,NA
66,G628,36.76663618,-15.25802465,0.836144375,0.58627451,0.169597277,22.49166679,1274,2,45,Acacia robusta,0,0,0,0,NA,0,0,0,0,NA
67,G651,36.48530303,-15.27015452,0.018804009,1.002645503,0.644192635,22.79999924,1242,19,176,Acacia robusta,0,0,NA,NA,NA,0,0,NA,NA,NA
68,G652,36.4886406,-15.28113986,0.848623405,0.972508591,0.320861678,22.82500076,1251,16,222,Acacia robusta,0,0,NA,NA,NA,0,0,NA,NA,NA
69,G653,36.50194501,-15.27099166,0.005886653,0.878221649,0.772675737,22.27083397,1274,15,173,Acacia robusta,0,0,NA,NA,NA,0,0,NA,NA,NA
70,G654,36.51720204,-15.27803581,0.001426533,0.805440568,0.771671388,22.37916756,1275,13,230,Acacia robusta,0,0,NA,NA,NA,0,0,NA,NA,NA
71,G673,36.777802,-15.272768,0.947413388,1.296296296,0.079410096,22.35833359,1304,8,61,Acacia robusta,0,NA,NA,NA,NA,0,NA,NA,NA,NA
72,G752,36.66231854,-15.30296954,0.220821617,1.062418726,0.463677639,22.85833359,1310,19,279,Acacia robusta,0,0,NA,NA,NA,0,0,NA,NA,NA
73,G792,36.614264,-15.3146348,0.861825741,0.391682785,0.229722065,22.61249924,1322,19,276,Acacia robusta,0,0,NA,NA,NA,0,0,NA,NA,NA
74,G793,36.62458087,-15.31674025,0.953461649,0.245762712,0.06572238,22.57916641,1339,19,234,Acacia robusta,0,0,NA,NA,NA,0,0,NA,NA,NA
75,G795,36.655885,-15.315685,0.890880762,1.123076923,0.124220079,22.75416565,1330,17,268,Acacia robusta,0,NA,NA,NA,NA,0,NA,NA,NA,NA
76,G837,36.6587111,-15.28669187,0.692375974,0.849246231,0.3838728,22.97083282,1288,10,363,Acacia robusta,0,0,NA,NA,NA,0,0,NA,NA,NA
77,G929,36.69263576,-15.35696421,0.840708306,0.17196702,0.082860386,22.19583321,1425,4,57,Acacia robusta,0,0,0,0,0,0,0,0,0,0
78,G930,36.70670725,-15.36156427,0.200121047,0.855875831,0.437641723,22.24583244,1441,19,55,Acacia robusta,0,0,0,0,0,0,0,0,0,0
79,G1230,36.58589924,-15.44725788,0.860736,0.331536388,0.139376771,22.07500076,1505,19,355,Acacia sp.,0,0,0,NA,NA,0,0,0,NA,NA
80,G1274,36.59280583,-15.45695961,0.827758763,0.384698276,0.202495746,21.98333359,1520,15,413,Acacia sp.,0,0,0,0,0,0,0,0,0,0
81,G1313,36.581453,-15.47106233,0.610024565,0.584801762,0.301020408,21.67499924,1547,13,524,Acacia sp.,0,0,NA,NA,NA,0,0,NA,NA,NA
82,G271,36.63998769,-15.15339138,0.009698024,1.489968321,0.799886621,23.53333282,1118,19,114,Acacia sp.,0,1,NA,NA,NA,0,1809.6,NA,NA,NA
83,G273,36.67294866,-15.15379115,0.725497752,0.978401728,0.513605442,23.10000038,1130,19,272,Acacia sp.,1,0,1,0,NA,1698.2,0,81.7,0,NA
84,G314,36.63144981,-15.15817319,0.797280607,1.845360825,0.405665722,23.54583359,1119,19,144,Acacia sp.,8,17,NA,NA,NA,860.9,4490.1,NA,NA,NA
85,G315,36.63899068,-15.16361477,0.342312945,1.707715134,0.652494331,23.51250076,1128,3,179,Acacia sp.,2,1,3,0,NA,465,248.8,131.3,0,NA
86,G319,36.6986108,-15.16437748,0.153555459,1.392807746,0.570861678,22.89999962,1149,1,379,Acacia sp.,0,0,NA,NA,NA,0,0,NA,NA,NA
87,G356,36.60008557,-15.17811285,0.419422246,0.955259976,0.44809983,23.43333244,1143,19,148,Acacia sp.,0,0,NA,NA,NA,0,0,NA,NA,NA
88,G358,36.62834331,-15.17749472,0.470660652,1.00862069,0.265306122,23.48333359,1149,19,201,Acacia sp.,2,1,NA,NA,NA,5888.5,706.9,NA,NA,NA
89,G359,36.637962,-15.181983,0.521140487,1.134310134,0.527241771,23.49583244,1149,19,247,Acacia sp.,1,NA,NA,NA,NA,9589.9,NA,NA,NA,NA
90,G360,36.65923537,-15.17812253,0.476660563,1.288808664,0.404761905,23.1875,1149,19,272,Acacia sp.,7,7,NA,NA,NA,324.8,1318.9,NA,NA,NA
91,G363,36.69534982,-15.17706723,0.65283722,1.43793911,0.348269994,22.79166603,1153,13,402,Acacia sp.,3,6,NA,NA,NA,68.3,607.8,NA,NA,NA
92,G401,36.62722641,-15.18678393,0.883260784,0.600472813,0.14399093,23.45416641,1156,19,225,Acacia sp.,0,0,0,NA,NA,0,0,0,NA,NA
93,G403,36.64969755,-15.18629902,0.018920391,1.41125,0.640385706,23.42499924,1156,19,275,Acacia sp.,0,3,NA,NA,NA,0,4858.8,NA,NA,NA
94,G497,36.75600562,-15.22170514,0.421837973,0.854392298,0.402722632,22.64583397,1209,17,104,Acacia sp.,2,3,NA,NA,NA,1137.8,1193,NA,NA,NA
95,G542,36.99340118,-15.06223571,0.603426499,1.370839937,0.49091941,22.96666718,1129,19,75,Acacia sp.,0,0,NA,NA,NA,0,0,NA,NA,NA
96,G543,36.78071643,-15.22924172,0.654953407,1.410071942,0.333522405,22.57916641,1230,19,36,Acacia sp.,1,1,NA,NA,NA,31.2,1188.5,NA,NA,NA
97,G578,36.67520903,-15.24593095,0.694410246,1.475446429,0.374716553,23.10416603,1232,19,426,Acacia sp.,2,3,NA,NA,NA,374.7,513.8,NA,NA,NA
98,G585,36.76644484,-15.23758054,0.434415735,1.630372493,0.322562358,22.52916718,1243,19,79,Acacia sp.,0,0,0,NA,NA,0,0,0,NA,NA
99,G609,36.5035872,-15.2618073,0.143675184,0.716642755,0.566005666,22.79583359,1240,11,146,Acacia sp.,6,0,NA,NA,NA,4384.9,0,NA,NA,NA
100,G611,36.53587517,-15.25632984,0.531026019,0.576982893,0.420634921,22.71249962,1240,6,211,Acacia sp.,0,0,NA,NA,NA,0,0,NA,NA,NA
101,G619,36.64330914,-15.26382129,0.68511489,0.74368932,0.217120181,23.0625,1253,19,429,Acacia sp.,9,0,NA,NA,NA,758.5,0,NA,NA,NA
102,G622,36.68182652,-15.25945629,0.741545265,1.740196078,0.201247166,23.09583282,1248,19,366,Acacia sp.,0,7,3,NA,NA,0,7692.9,78.1,NA,NA
103,G623,36.70270155,-15.2632723,0.345054375,1.532956685,0.461712989,22.98333359,1254,19,265,Acacia sp.,1,1,0,0,NA,1017.9,143.1,0,0,NA
104,G627,36.754718,-15.25277133,0.822311139,1.996721311,0.345629966,22.61249924,1266,19,88,Acacia sp.,0,0,NA,NA,NA,0,0,NA,NA,NA
105,G628,36.76663618,-15.25802465,0.836144375,0.58627451,0.169597277,22.49166679,1274,2,45,Acacia sp.,0,0,0,0,NA,0,0,0,0,NA
106,G651,36.48530303,-15.27015452,0.018804009,1.002645503,0.644192635,22.79999924,1242,19,176,Acacia sp.,5,9,NA,NA,NA,3514.6,756.7,NA,NA,NA
107,G652,36.4886406,-15.28113986,0.848623405,0.972508591,0.320861678,22.82500076,1251,16,222,Acacia sp.,0,1,NA,NA,NA,0,221.7,NA,NA,NA
108,G653,36.50194501,-15.27099166,0.005886653,0.878221649,0.772675737,22.27083397,1274,15,173,Acacia sp.,0,4,NA,NA,NA,0,529.6,NA,NA,NA
109,G654,36.51720204,-15.27803581,0.001426533,0.805440568,0.771671388,22.37916756,1275,13,230,Acacia sp.,0,0,NA,NA,NA,0,0,NA,NA,NA
110,G673,36.777802,-15.272768,0.947413388,1.296296296,0.079410096,22.35833359,1304,8,61,Acacia sp.,0,NA,NA,NA,NA,0,NA,NA,NA,NA
111,G752,36.66231854,-15.30296954,0.220821617,1.062418726,0.463677639,22.85833359,1310,19,279,Acacia sp.,6,8,NA,NA,NA,775.9,753.6,NA,NA,NA
112,G792,36.614264,-15.3146348,0.861825741,0.391682785,0.229722065,22.61249924,1322,19,276,Acacia sp.,0,0,NA,NA,NA,0,0,NA,NA,NA
113,G793,36.62458087,-15.31674025,0.953461649,0.245762712,0.06572238,22.57916641,1339,19,234,Acacia sp.,0,0,NA,NA,NA,0,0,NA,NA,NA
114,G795,36.655885,-15.315685,0.890880762,1.123076923,0.124220079,22.75416565,1330,17,268,Acacia sp.,3,NA,NA,NA,NA,231.9,NA,NA,NA,NA
115,G837,36.6587111,-15.28669187,0.692375974,0.849246231,0.3838728,22.97083282,1288,10,363,Acacia sp.,4,2,NA,NA,NA,973.4,325.8,NA,NA,NA
116,G929,36.69263576,-15.35696421,0.840708306,0.17196702,0.082860386,22.19583321,1425,4,57,Acacia sp.,0,0,0,0,0,0,0,0,0,0
117,G930,36.70670725,-15.36156427,0.200121047,0.855875831,0.437641723,22.24583244,1441,19,55,Acacia sp.,9,0,0,0,0,1289.8,0,0,0,0
118,G1230,36.58589924,-15.44725788,0.860736,0.331536388,0.139376771,22.07500076,1505,19,355,Adansonia digitata,0,0,0,NA,NA,0,0,0,NA,NA
119,G1274,36.59280583,-15.45695961,0.827758763,0.384698276,0.202495746,21.98333359,1520,15,413,Adansonia digitata,0,0,0,0,0,0,0,0,0,0
120,G1313,36.581453,-15.47106233,0.610024565,0.584801762,0.301020408,21.67499924,1547,13,524,Adansonia digitata,0,0,NA,NA,NA,0,0,NA,NA,NA
121,G271,36.63998769,-15.15339138,0.009698024,1.489968321,0.799886621,23.53333282,1118,19,114,Adansonia digitata,0,0,NA,NA,NA,0,0,NA,NA,NA
122,G273,36.67294866,-15.15379115,0.725497752,0.978401728,0.513605442,23.10000038,1130,19,272,Adansonia digitata,0,1,1,0,NA,0,397.6,153.9,0,NA
123,G314,36.63144981,-15.15817319,0.797280607,1.845360825,0.405665722,23.54583359,1119,19,144,Adansonia digitata,0,3,NA,NA,NA,0,314.5,NA,NA,NA
124,G315,36.63899068,-15.16361477,0.342312945,1.707715134,0.652494331,23.51250076,1128,3,179,Adansonia digitata,0,0,0,0,NA,0,0,0,0,NA
125,G319,36.6986108,-15.16437748,0.153555459,1.392807746,0.570861678,22.89999962,1149,1,379,Adansonia digitata,1,0,NA,NA,NA,56.7,0,NA,NA,NA
126,G356,36.60008557,-15.17811285,0.419422246,0.955259976,0.44809983,23.43333244,1143,19,148,Adansonia digitata,0,1,NA,NA,NA,0,78.5,NA,NA,NA
127,G358,36.62834331,-15.17749472,0.470660652,1.00862069,0.265306122,23.48333359,1149,19,201,Adansonia digitata,0,0,NA,NA,NA,0,0,NA,NA,NA
128,G359,36.637962,-15.181983,0.521140487,1.134310134,0.527241771,23.49583244,1149,19,247,Adansonia digitata,0,NA,NA,NA,NA,0,NA,NA,NA,NA
129,G360,36.65923537,-15.17812253,0.476660563,1.288808664,0.404761905,23.1875,1149,19,272,Adansonia digitata,0,0,NA,NA,NA,0,0,NA,NA,NA
130,G363,36.69534982,-15.17706723,0.65283722,1.43793911,0.348269994,22.79166603,1153,13,402,Adansonia digitata,0,0,NA,NA,NA,0,0,NA,NA,NA
131,G401,36.62722641,-15.18678393,0.883260784,0.600472813,0.14399093,23.45416641,1156,19,225,Adansonia digitata,0,0,0,NA,NA,0,0,0,NA,NA
132,G403,36.64969755,-15.18629902,0.018920391,1.41125,0.640385706,23.42499924,1156,19,275,Adansonia digitata,0,0,NA,NA,NA,0,0,NA,NA,NA
133,G497,36.75600562,-15.22170514,0.421837973,0.854392298,0.402722632,22.64583397,1209,17,104,Adansonia digitata,0,0,NA,NA,NA,0,0,NA,NA,NA
134,G542,36.99340118,-15.06223571,0.603426499,1.370839937,0.49091941,22.96666718,1129,19,75,Adansonia digitata,0,0,NA,NA,NA,0,0,NA,NA,NA
135,G543,36.78071643,-15.22924172,0.654953407,1.410071942,0.333522405,22.57916641,1230,19,36,Adansonia digitata,0,0,NA,NA,NA,0,0,NA,NA,NA
136,G578,36.67520903,-15.24593095,0.694410246,1.475446429,0.374716553,23.10416603,1232,19,426,Adansonia digitata,0,0,NA,NA,NA,0,0,NA,NA,NA
137,G585,36.76644484,-15.23758054,0.434415735,1.630372493,0.322562358,22.52916718,1243,19,79,Adansonia digitata,0,0,0,NA,NA,0,0,0,NA,NA
138,G609,36.5035872,-15.2618073,0.143675184,0.716642755,0.566005666,22.79583359,1240,11,146,Adansonia digitata,0,0,NA,NA,NA,0,0,NA,NA,NA
139,G611,36.53587517,-15.25632984,0.531026019,0.576982893,0.420634921,22.71249962,1240,6,211,Adansonia digitata,0,0,NA,NA,NA,0,0,NA,NA,NA
140,G619,36.64330914,-15.26382129,0.68511489,0.74368932,0.217120181,23.0625,1253,19,429,Adansonia digitata,0,0,NA,NA,NA,0,0,NA,NA,NA
141,G622,36.68182652,-15.25945629,0.741545265,1.740196078,0.201247166,23.09583282,1248,19,366,Adansonia digitata,0,0,0,NA,NA,0,0,0,NA,NA
142,G623,36.70270155,-15.2632723,0.345054375,1.532956685,0.461712989,22.98333359,1254,19,265,Adansonia digitata,0,0,0,0,NA,0,0,0,0,NA
143,G627,36.754718,-15.25277133,0.822311139,1.996721311,0.345629966,22.61249924,1266,19,88,Adansonia digitata,0,0,NA,NA,NA,0,0,NA,NA,NA
144,G628,36.76663618,-15.25802465,0.836144375,0.58627451,0.169597277,22.49166679,1274,2,45,Adansonia digitata,0,0,0,6,NA,0,0,0,340.2,NA
145,G651,36.48530303,-15.27015452,0.018804009,1.002645503,0.644192635,22.79999924,1242,19,176,Adansonia digitata,0,0,NA,NA,NA,0,0,NA,NA,NA
146,G652,36.4886406,-15.28113986,0.848623405,0.972508591,0.320861678,22.82500076,1251,16,222,Adansonia digitata,0,0,NA,NA,NA,0,0,NA,NA,NA
147,G653,36.50194501,-15.27099166,0.005886653,0.878221649,0.772675737,22.27083397,1274,15,173,Adansonia digitata,0,0,NA,NA,NA,0,0,NA,NA,NA
148,G654,36.51720204,-15.27803581,0.001426533,0.805440568,0.771671388,22.37916756,1275,13,230,Adansonia digitata,0,0,NA,NA,NA,0,0,NA,NA,NA
149,G673,36.777802,-15.272768,0.947413388,1.296296296,0.079410096,22.35833359,1304,8,61,Adansonia digitata,0,NA,NA,NA,NA,0,NA,NA,NA,NA
150,G752,36.66231854,-15.30296954,0.220821617,1.062418726,0.463677639,22.85833359,1310,19,279,Adansonia digitata,0,2,NA,NA,NA,0,109,NA,NA,NA
151,G792,36.614264,-15.3146348,0.861825741,0.391682785,0.229722065,22.61249924,1322,19,276,Adansonia digitata,0,0,NA,NA,NA,0,0,NA,NA,NA
152,G793,36.62458087,-15.31674025,0.953461649,0.245762712,0.06572238,22.57916641,1339,19,234,Adansonia digitata,0,0,NA,NA,NA,0,0,NA,NA,NA
153,G795,36.655885,-15.315685,0.890880762,1.123076923,0.124220079,22.75416565,1330,17,268,Adansonia digitata,0,NA,NA,NA,NA,0,NA,NA,NA,NA
154,G837,36.6587111,-15.28669187,0.692375974,0.849246231,0.3838728,22.97083282,1288,10,363,Adansonia digitata,0,0,NA,NA,NA,0,0,NA,NA,NA
155,G929,36.69263576,-15.35696421,0.840708306,0.17196702,0.082860386,22.19583321,1425,4,57,Adansonia digitata,0,0,0,1,4,0,0,0,89.9,249.3
156,G930,36.70670725,-15.36156427,0.200121047,0.855875831,0.437641723,22.24583244,1441,19,55,Adansonia digitata,0,0,0,0,0,0,0,0,0,0
157,G1230,36.58589924,-15.44725788,0.860736,0.331536388,0.139376771,22.07500076,1505,19,355,Afzelia quanzensis,0,0,0,NA,NA,0,0,0,NA,NA
158,G1274,36.59280583,-15.45695961,0.827758763,0.384698276,0.202495746,21.98333359,1520,15,413,Afzelia quanzensis,0,0,2,0,0,0,0,49.6,0,0
159,G1313,36.581453,-15.47106233,0.610024565,0.584801762,0.301020408,21.67499924,1547,13,524,Afzelia quanzensis,0,0,NA,NA,NA,0,0,NA,NA,NA
160,G271,36.63998769,-15.15339138,0.009698024,1.489968321,0.799886621,23.53333282,1118,19,114,Afzelia quanzensis,0,0,NA,NA,NA,0,0,NA,NA,NA
161,G273,36.67294866,-15.15379115,0.725497752,0.978401728,0.513605442,23.10000038,1130,19,272,Afzelia quanzensis,0,0,0,0,NA,0,0,0,0,NA
162,G314,36.63144981,-15.15817319,0.797280607,1.845360825,0.405665722,23.54583359,1119,19,144,Afzelia quanzensis,0,0,NA,NA,NA,0,0,NA,NA,NA
163,G315,36.63899068,-15.16361477,0.342312945,1.707715134,0.652494331,23.51250076,1128,3,179,Afzelia quanzensis,0,0,0,0,NA,0,0,0,0,NA
164,G319,36.6986108,-15.16437748,0.153555459,1.392807746,0.570861678,22.89999962,1149,1,379,Afzelia quanzensis,0,0,NA,NA,NA,0,0,NA,NA,NA
165,G356,36.60008557,-15.17811285,0.419422246,0.955259976,0.44809983,23.43333244,1143,19,148,Afzelia quanzensis,0,0,NA,NA,NA,0,0,NA,NA,NA
